name,abbrev,summary,guidance,related_to,nist_type,context,tokens
Mitigation,RS.MI,"Activities are performed to prevent expansion of an event, mitigate its effects, and eradicate the incident.",,RESPOND,Category,"Nist Categorization Type: Category
Mitigation (RS.MI)

Activities are performed to prevent expansion of an event, mitigate its effects, and eradicate the incident.
Related to: RESPOND",44
Improvements,RS.IM,Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities.,,RESPOND,Category,"Nist Categorization Type: Category
Improvements (RS.IM)

Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities.
Related to: RESPOND",43
Recovery Planning,RC.RP,Recovery processes and procedures are executed and maintained to ensure timely restoration of systems or assets affected by cybersecurity events.,,RECOVER,Category,"Nist Categorization Type: Category
Recovery Planning (RC.RP)

Recovery processes and procedures are executed and maintained to ensure timely restoration of systems or assets affected by cybersecurity events.
Related to: RECOVER",47
Improvements,RC.IM,Recovery planning and processes are improved by incorporating lessons learned into future activities.,,RECOVER,Category,"Nist Categorization Type: Category
Improvements (RC.IM)

Recovery planning and processes are improved by incorporating lessons learned into future activities.
Related to: RECOVER",39
Communications,RC.CO,"Restoration activities are coordinated with internal and external parties, such as coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors.",,RECOVER,Category,"Nist Categorization Type: Category
Communications (RC.CO)

Restoration activities are coordinated with internal and external parties, such as coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors.
Related to: RECOVER",60
,ID.AM-1,Physical devices and systems within the organization are inventoried,,Asset Management,Subcategory,"Nist Categorization Type: Subcategory
(ID.AM-1)

Physical devices and systems within the organization are inventoried
Related to: Asset Management",35
,ID.AM-2,Software platforms and applications within the organization are inventoried,,Asset Management,Subcategory,"Nist Categorization Type: Subcategory
(ID.AM-2)

Software platforms and applications within the organization are inventoried
Related to: Asset Management",35
,ID.AM-3,Organizational communication and data flows are mapped,,Asset Management,Subcategory,"Nist Categorization Type: Subcategory
(ID.AM-3)

Organizational communication and data flows are mapped
Related to: Asset Management",33
,ID.AM-4,External information systems are catalogued,,Asset Management,Subcategory,"Nist Categorization Type: Subcategory
(ID.AM-4)

External information systems are catalogued
Related to: Asset Management",31
,ID.AM-5,"Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value",,Asset Management,Subcategory,"Nist Categorization Type: Subcategory
(ID.AM-5)

Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value
Related to: Asset Management",54
,ID.AM-6,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",,Asset Management,Subcategory,"Nist Categorization Type: Subcategory
(ID.AM-6)

Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established
Related to: Asset Management",53
,ID.BE-1,The organization’s role in the supply chain is identified and communicated,,Business Environment,Subcategory,"Nist Categorization Type: Subcategory
(ID.BE-1)

The organization’s role in the supply chain is identified and communicated
Related to: Business Environment",39
,ID.BE-2,The organization’s place in critical infrastructure and its industry sector is identified and communicated,,Business Environment,Subcategory,"Nist Categorization Type: Subcategory
(ID.BE-2)

The organization’s place in critical infrastructure and its industry sector is identified and communicated
Related to: Business Environment",42
,ID.BE-3,"Priorities for organizational mission, objectives, and activities are established and communicated",,Business Environment,Subcategory,"Nist Categorization Type: Subcategory
(ID.BE-3)

Priorities for organizational mission, objectives, and activities are established and communicated
Related to: Business Environment",39
,ID.BE-4,Dependencies and critical functions for delivery of critical services are established,,Business Environment,Subcategory,"Nist Categorization Type: Subcategory
(ID.BE-4)

Dependencies and critical functions for delivery of critical services are established
Related to: Business Environment",38
,ID.BE-5,Resilience requirements to support delivery of critical services are established,,Business Environment,Subcategory,"Nist Categorization Type: Subcategory
(ID.BE-5)

Resilience requirements to support delivery of critical services are established
Related to: Business Environment",37
,ID.GV-1,Organizational information security policy is established,,Governance,Subcategory,"Nist Categorization Type: Subcategory
(ID.GV-1)

Organizational information security policy is established
Related to: Governance",32
,ID.GV-2,Information security roles & responsibilities are coordinated and aligned with internal roles and external partners,,Governance,Subcategory,"Nist Categorization Type: Subcategory
(ID.GV-2)

Information security roles & responsibilities are coordinated and aligned with internal roles and external partners
Related to: Governance",40
,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",,Governance,Subcategory,"Nist Categorization Type: Subcategory
(ID.GV-3)

Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed
Related to: Governance",43
,ID.GV-4,Governance and risk management processes address cybersecurity risks,,Governance,Subcategory,"Nist Categorization Type: Subcategory
(ID.GV-4)

Governance and risk management processes address cybersecurity risks
Related to: Governance",34
,ID.RA-1,Asset vulnerabilities are identified and documented,,Risk Assessment,Subcategory,"Nist Categorization Type: Subcategory
(ID.RA-1)

Asset vulnerabilities are identified and documented
Related to: Risk Assessment",31
,ID.RA-2,Threat and vulnerability information is received from information sharing forums and sources,,Risk Assessment,Subcategory,"Nist Categorization Type: Subcategory
(ID.RA-2)

Threat and vulnerability information is received from information sharing forums and sources
Related to: Risk Assessment",38
,ID.RA-3,"Threats, both internal and external, are identified and documented",,Risk Assessment,Subcategory,"Nist Categorization Type: Subcategory
(ID.RA-3)

Threats, both internal and external, are identified and documented
Related to: Risk Assessment",38
,ID.RA-4,Potential business impacts and likelihoods are identified,,Risk Assessment,Subcategory,"Nist Categorization Type: Subcategory
(ID.RA-4)

Potential business impacts and likelihoods are identified
Related to: Risk Assessment",34
,ID.RA-5,"Threats, vulnerabilities, likelihoods, and impacts are used to determine risk",,Risk Assessment,Subcategory,"Nist Categorization Type: Subcategory
(ID.RA-5)

Threats, vulnerabilities, likelihoods, and impacts are used to determine risk
Related to: Risk Assessment",41
,ID.RA-6,Risk responses are identified and prioritized,,Risk Assessment,Subcategory,"Nist Categorization Type: Subcategory
(ID.RA-6)

Risk responses are identified and prioritized
Related to: Risk Assessment",33
,ID.RM-1,"Risk management processes are established, managed, and agreed to by organizational stakeholders",,Risk Management Strategy,Subcategory,"Nist Categorization Type: Subcategory
(ID.RM-1)

Risk management processes are established, managed, and agreed to by organizational stakeholders
Related to: Risk Management Strategy",41
,ID.RM-2,Organizational risk tolerance is determined and clearly expressed,,Risk Management Strategy,Subcategory,"Nist Categorization Type: Subcategory
(ID.RM-2)

Organizational risk tolerance is determined and clearly expressed
Related to: Risk Management Strategy",35
,ID.RM-3,The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,,Risk Management Strategy,Subcategory,"Nist Categorization Type: Subcategory
(ID.RM-3)

The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis
Related to: Risk Management Strategy",48
,PR.AC-1,Identities and credentials are managed for authorized devices and users,,Access Control,Subcategory,"Nist Categorization Type: Subcategory
(PR.AC-1)

Identities and credentials are managed for authorized devices and users
Related to: Access Control",37
,PR.AC-2,Physical access to assets is managed and protected,,Access Control,Subcategory,"Nist Categorization Type: Subcategory
(PR.AC-2)

Physical access to assets is managed and protected
Related to: Access Control",33
,PR.AC-3,Remote access is managed,,Access Control,Subcategory,"Nist Categorization Type: Subcategory
(PR.AC-3)

Remote access is managed
Related to: Access Control",29
,PR.AC-4,"Access permissions are managed, incorporating the principles of least privilege and separation of duties",,Access Control,Subcategory,"Nist Categorization Type: Subcategory
(PR.AC-4)

Access permissions are managed, incorporating the principles of least privilege and separation of duties
Related to: Access Control",40
,PR.AC-5,"Network integrity is protected, incorporating network segregation where appropriate",,Access Control,Subcategory,"Nist Categorization Type: Subcategory
(PR.AC-5)

Network integrity is protected, incorporating network segregation where appropriate
Related to: Access Control",35
,PR.AT-1,All users are informed and trained,,Awareness and Training,Subcategory,"Nist Categorization Type: Subcategory
(PR.AT-1)

All users are informed and trained
Related to: Awareness and Training",32
,PR.AT-2,Privileged users understand roles & responsibilities,,Awareness and Training,Subcategory,"Nist Categorization Type: Subcategory
(PR.AT-2)

Privileged users understand roles & responsibilities
Related to: Awareness and Training",33
,PR.AT-3,"Third-party stakeholders (e.g., suppliers, customers, partners) understand roles & responsibilities",,Awareness and Training,Subcategory,"Nist Categorization Type: Subcategory
(PR.AT-3)

Third-party stakeholders (e.g., suppliers, customers, partners) understand roles & responsibilities
Related to: Awareness and Training",45
,PR.AT-4,Senior executives understand roles & responsibilities,,Awareness and Training,Subcategory,"Nist Categorization Type: Subcategory
(PR.AT-4)

Senior executives understand roles & responsibilities
Related to: Awareness and Training",32
,PR.AT-5,Physical and information security personnel understand roles & responsibilities,,Awareness and Training,Subcategory,"Nist Categorization Type: Subcategory
(PR.AT-5)

Physical and information security personnel understand roles & responsibilities
Related to: Awareness and Training",35
,PR.DS-1,Data-at-rest is protected,,Data Security,Subcategory,"Nist Categorization Type: Subcategory
(PR.DS-1)

Data-at-rest is protected
Related to: Data Security",32
,PR.DS-2,Data-in-transit is protected,,Data Security,Subcategory,"Nist Categorization Type: Subcategory
(PR.DS-2)

Data-in-transit is protected
Related to: Data Security",33
,PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition",,Data Security,Subcategory,"Nist Categorization Type: Subcategory
(PR.DS-3)

Assets are formally managed throughout removal, transfers, and disposition
Related to: Data Security",37
,PR.DS-4,Adequate capacity to ensure availability is maintained,,Data Security,Subcategory,"Nist Categorization Type: Subcategory
(PR.DS-4)

Adequate capacity to ensure availability is maintained
Related to: Data Security",34
,PR.DS-5,Protections against data leaks are implemented,,Data Security,Subcategory,"Nist Categorization Type: Subcategory
(PR.DS-5)

Protections against data leaks are implemented
Related to: Data Security",32
,PR.DS-6,"Integrity checking mechanisms are used to verify software, firmware, and information integrity",,Data Security,Subcategory,"Nist Categorization Type: Subcategory
(PR.DS-6)

Integrity checking mechanisms are used to verify software, firmware, and information integrity
Related to: Data Security",40
,PR.DS-7,The development and testing environment(s) are separate from the production environment,,Data Security,Subcategory,"Nist Categorization Type: Subcategory
(PR.DS-7)

The development and testing environment(s) are separate from the production environment
Related to: Data Security",39
,PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained,,Information Protection Processes and Procedures,Subcategory,"Nist Categorization Type: Subcategory
(PR.IP-1)

A baseline configuration of information technology/industrial control systems is created and maintained
Related to: Information Protection Processes and Procedures",43
,PR.IP-2,A System Development Life Cycle to manage systems is implemented,,Information Protection Processes and Procedures,Subcategory,"Nist Categorization Type: Subcategory
(PR.IP-2)

A System Development Life Cycle to manage systems is implemented
Related to: Information Protection Processes and Procedures",39
,PR.IP-3,Configuration change control processes are in place,,Information Protection Processes and Procedures,Subcategory,"Nist Categorization Type: Subcategory
(PR.IP-3)

Configuration change control processes are in place
Related to: Information Protection Processes and Procedures",36
,PR.IP-4,"Backups of information are conducted, maintained, and tested periodically",,Information Protection Processes and Procedures,Subcategory,"Nist Categorization Type: Subcategory
(PR.IP-4)

Backups of information are conducted, maintained, and tested periodically
Related to: Information Protection Processes and Procedures",41
,PR.IP-5,Policy and regulations regarding the physical operating environment for organizational assets are met,,Information Protection Processes and Procedures,Subcategory,"Nist Categorization Type: Subcategory
(PR.IP-5)

Policy and regulations regarding the physical operating environment for organizational assets are met
Related to: Information Protection Processes and Procedures",42
,PR.IP-6,Data is destroyed according to policy,,Information Protection Processes and Procedures,Subcategory,"Nist Categorization Type: Subcategory
(PR.IP-6)

Data is destroyed according to policy
Related to: Information Protection Processes and Procedures",35
,PR.IP-7,Protection processes are continuously improved,,Information Protection Processes and Procedures,Subcategory,"Nist Categorization Type: Subcategory
(PR.IP-7)

Protection processes are continuously improved
Related to: Information Protection Processes and Procedures",35
,PR.IP-8,Effectiveness of protection technologies is shared with appropriate parties,,Information Protection Processes and Procedures,Subcategory,"Nist Categorization Type: Subcategory
(PR.IP-8)

Effectiveness of protection technologies is shared with appropriate parties
Related to: Information Protection Processes and Procedures",39
,PR.IP-9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,,Information Protection Processes and Procedures,Subcategory,"Nist Categorization Type: Subcategory
(PR.IP-9)

Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed
Related to: Information Protection Processes and Procedures",56
,PR.IP-10,Response and recovery plans are tested,,Information Protection Processes and Procedures,Subcategory,"Nist Categorization Type: Subcategory
(PR.IP-10)

Response and recovery plans are tested
Related to: Information Protection Processes and Procedures",35
,PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)",,Information Protection Processes and Procedures,Subcategory,"Nist Categorization Type: Subcategory
(PR.IP-11)

Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)
Related to: Information Protection Processes and Procedures",51
,PR.IP-12,A vulnerability management plan is developed and implemented,,Information Protection Processes and Procedures,Subcategory,"Nist Categorization Type: Subcategory
(PR.IP-12)

A vulnerability management plan is developed and implemented
Related to: Information Protection Processes and Procedures",37
,PR.MA-1,"Maintenance and repair of organizational assets is performed and logged in a timely manner, with approved and controlled tools",,Maintenance,Subcategory,"Nist Categorization Type: Subcategory
(PR.MA-1)

Maintenance and repair of organizational assets is performed and logged in a timely manner, with approved and controlled tools
Related to: Maintenance",45
,PR.MA-2,"Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access",,Maintenance,Subcategory,"Nist Categorization Type: Subcategory
(PR.MA-2)

Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access
Related to: Maintenance",43
,PR.PT-1,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",,Protective Technology,Subcategory,"Nist Categorization Type: Subcategory
(PR.PT-1)

Audit/log records are determined, documented, implemented, and reviewed in accordance with policy
Related to: Protective Technology",43
,PR.PT-2,Removable media is protected and its use restricted according to policy,,Protective Technology,Subcategory,"Nist Categorization Type: Subcategory
(PR.PT-2)

Removable media is protected and its use restricted according to policy
Related to: Protective Technology",37
,PR.PT-3,"Access to systems and assets is controlled, incorporating the principle of least functionality",,Protective Technology,Subcategory,"Nist Categorization Type: Subcategory
(PR.PT-3)

Access to systems and assets is controlled, incorporating the principle of least functionality
Related to: Protective Technology",39
,PR.PT-4,Communications and control networks are protected,,Protective Technology,Subcategory,"Nist Categorization Type: Subcategory
(PR.PT-4)

Communications and control networks are protected
Related to: Protective Technology",32
,DE.AE-1,A baseline of network operations and expected data flows for users and systems is established and managed,,Anomalies and Events,Subcategory,"Nist Categorization Type: Subcategory
(DE.AE-1)

A baseline of network operations and expected data flows for users and systems is established and managed
Related to: Anomalies and Events",45
,DE.AE-2,Detected events are analyzed to understand attack targets and methods,,Anomalies and Events,Subcategory,"Nist Categorization Type: Subcategory
(DE.AE-2)

Detected events are analyzed to understand attack targets and methods
Related to: Anomalies and Events",39
,DE.AE-3,Event data are aggregated and correlated from multiple sources and sensors,,Anomalies and Events,Subcategory,"Nist Categorization Type: Subcategory
(DE.AE-3)

Event data are aggregated and correlated from multiple sources and sensors
Related to: Anomalies and Events",40
,DE.AE-4,Impact of events is determined,,Anomalies and Events,Subcategory,"Nist Categorization Type: Subcategory
(DE.AE-4)

Impact of events is determined
Related to: Anomalies and Events",34
,DE.AE-5,Incident alert thresholds are established,,Anomalies and Events,Subcategory,"Nist Categorization Type: Subcategory
(DE.AE-5)

Incident alert thresholds are established
Related to: Anomalies and Events",34
,DE.CM-1,The network is monitored to detect potential cybersecurity events,,Security Continuous Monitoring,Subcategory,"Nist Categorization Type: Subcategory
(DE.CM-1)

The network is monitored to detect potential cybersecurity events
Related to: Security Continuous Monitoring",35
,DE.CM-2,The physical environment is monitored to detect potential cybersecurity events,,Security Continuous Monitoring,Subcategory,"Nist Categorization Type: Subcategory
(DE.CM-2)

The physical environment is monitored to detect potential cybersecurity events
Related to: Security Continuous Monitoring",36
,DE.CM-3,Personnel activity is monitored to detect potential cybersecurity events,,Security Continuous Monitoring,Subcategory,"Nist Categorization Type: Subcategory
(DE.CM-3)

Personnel activity is monitored to detect potential cybersecurity events
Related to: Security Continuous Monitoring",36
,DE.CM-4,Malicious code is detected,,Security Continuous Monitoring,Subcategory,"Nist Categorization Type: Subcategory
(DE.CM-4)

Malicious code is detected
Related to: Security Continuous Monitoring",31
,DE.CM-5,Unauthorized mobile code is detected,,Security Continuous Monitoring,Subcategory,"Nist Categorization Type: Subcategory
(DE.CM-5)

Unauthorized mobile code is detected
Related to: Security Continuous Monitoring",34
,DE.CM-6,External service provider activity is monitored to detect potential cybersecurity events,,Security Continuous Monitoring,Subcategory,"Nist Categorization Type: Subcategory
(DE.CM-6)

External service provider activity is monitored to detect potential cybersecurity events
Related to: Security Continuous Monitoring",37
,DE.CM-7,"Monitoring for unauthorized personnel, connections, devices, and software is performed",,Security Continuous Monitoring,Subcategory,"Nist Categorization Type: Subcategory
(DE.CM-7)

Monitoring for unauthorized personnel, connections, devices, and software is performed
Related to: Security Continuous Monitoring",40
,DE.CM-8,Vulnerability scans are performed,,Security Continuous Monitoring,Subcategory,"Nist Categorization Type: Subcategory
(DE.CM-8)

Vulnerability scans are performed
Related to: Security Continuous Monitoring",31
,DE.DP-1,Roles and responsibilities for detection are well defined to ensure accountability,,Detection Processes,Subcategory,"Nist Categorization Type: Subcategory
(DE.DP-1)

Roles and responsibilities for detection are well defined to ensure accountability
Related to: Detection Processes",38
,DE.DP-2,Detection activities comply with all applicable requirements,,Detection Processes,Subcategory,"Nist Categorization Type: Subcategory
(DE.DP-2)

Detection activities comply with all applicable requirements
Related to: Detection Processes",34
,DE.DP-3,Detection processes are tested,,Detection Processes,Subcategory,"Nist Categorization Type: Subcategory
(DE.DP-3)

Detection processes are tested
Related to: Detection Processes",31
,DE.DP-4,Event detection information is communicated to appropriate parties,,Detection Processes,Subcategory,"Nist Categorization Type: Subcategory
(DE.DP-4)

Event detection information is communicated to appropriate parties
Related to: Detection Processes",34
,DE.DP-5,Detection processes are continuously improved,,Detection Processes,Subcategory,"Nist Categorization Type: Subcategory
(DE.DP-5)

Detection processes are continuously improved
Related to: Detection Processes",32
,RS.RP-1,Response plan is executed during or after an event,,Response Planning,Subcategory,"Nist Categorization Type: Subcategory
(RS.RP-1)

Response plan is executed during or after an event
Related to: Response Planning",34
,RS.CO-1,Personnel know their roles and order of operations when a response is needed,,Communications,Subcategory,"Nist Categorization Type: Subcategory
(RS.CO-1)

Personnel know their roles and order of operations when a response is needed
Related to: Communications",38
,RS.CO-2,Events are reported consistent with established criteria,,Communications,Subcategory,"Nist Categorization Type: Subcategory
(RS.CO-2)

Events are reported consistent with established criteria
Related to: Communications",31
,RS.CO-3,Information is shared consistent with response plans,,Communications,Subcategory,"Nist Categorization Type: Subcategory
(RS.CO-3)

Information is shared consistent with response plans
Related to: Communications",31
,RS.CO-4,Coordination with stakeholders occurs consistent with response plans,,Communications,Subcategory,"Nist Categorization Type: Subcategory
(RS.CO-4)

Coordination with stakeholders occurs consistent with response plans
Related to: Communications",34
,RS.CO-5,Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness,,Communications,Subcategory,"Nist Categorization Type: Subcategory
(RS.CO-5)

Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness
Related to: Communications",38
,RS.AN-1,Notifications from detection systems are investigated,,Analysis,Subcategory,"Nist Categorization Type: Subcategory
(RS.AN-1)

Notifications from detection systems are investigated
Related to: Analysis",31
,RS.AN-2,The impact of the incident is understood,,Analysis,Subcategory,"Nist Categorization Type: Subcategory
(RS.AN-2)

The impact of the incident is understood
Related to: Analysis",31
,RS.AN-3,Forensics are performed,,Analysis,Subcategory,"Nist Categorization Type: Subcategory
(RS.AN-3)

Forensics are performed
Related to: Analysis",28
,RS.AN-4,Incidents are categorized consistent with response plans,,Analysis,Subcategory,"Nist Categorization Type: Subcategory
(RS.AN-4)

Incidents are categorized consistent with response plans
Related to: Analysis",32
,RS.MI-1,Incidents are contained,,Mitigation,Subcategory,"Nist Categorization Type: Subcategory
(RS.MI-1)

Incidents are contained
Related to: Mitigation",29
,RS.MI-2,Incidents are mitigated,,Mitigation,Subcategory,"Nist Categorization Type: Subcategory
(RS.MI-2)

Incidents are mitigated
Related to: Mitigation",30
,RS.MI-3,Newly identified vulnerabilities are mitigated or documented as accepted risks,,Mitigation,Subcategory,"Nist Categorization Type: Subcategory
(RS.MI-3)

Newly identified vulnerabilities are mitigated or documented as accepted risks
Related to: Mitigation",37
